05099,..Nevada County,"8,997"
05101,..Newton County,"8,330"
05103,..Ouachita County,"26,120"
05105,..Perry County,"10,445"
05107,..Phillips County,"21,757"
05109,..Pike County,"11,291"
05111,..Poinsett County,"24,583"
05113,..Polk County,"20,662"
05115,..Pope County,"61,754"
05117,..Prairie County,"8,715"
05119,..Pulaski County,"382,750"
05121,..Randolph County,"17,969"
05123,..St. Francis County,"28,258"
05125,..Saline County,"107,120"
05127,..Scott County,"11,233"
05129,..Searcy County,"8,195"
05131,..Sebastian County,"125,744"
05133,..Sevier County,"17,058"
05135,..Sharp County,"17,264"
05137,..Stone County,"12,394"
05139,..Union County,"41,639"
05141,..Van Buren County,"17,295"
05143,..Washington County,"203,065"
05145,..White County,"77,076"
05147,..Woodruff County,"7,264"
05149,..Yell County,"22,185"
06000,.California,"37,253,956"
06001,..Alameda County,"1,510,271"
06003,..Alpine County,"1,175"
06005,..Amador County,"38,091"
06007,..Butte County,"220,000"
06009,..Calaveras County,"45,578"
06011,..Colusa County,"21,419"
06013,..Contra Costa County,"1,049,025"
06015,..Del Norte County,"28,610"
06017,..El Dorado County,"181,058"
06019,..Fresno County,"930,450"
06021,..Glenn County,"28,122"
06023,..Humboldt County,"134,623"
06025,..Imperial County,"174,528"
06027,..Inyo County,"18,546"
06029,..Kern County,"839,631"
06031,..Kings County,"152,982"
06033,..Lake County,"64,665"
06035,..Lassen County,"34,895"
06037,..Los Angeles County,"9,818,605"
06039,..Madera County,"150,865"
06041,..Marin County,"252,409"
06043,..Mariposa County,"18,251"
06045,..Mendocino County,"87,841"
06047,..Merced County,"255,793"
06049,..Modoc County,"9,686"
06051,..Mono County,"14,202"
06053,..Monterey County,"415,057"
06055,..Napa County,"136,484"
06057,..Nevada County,"98,764"
06059,..Orange County,"3,010,232"
06061,..Placer County,"348,432"
06063,..Plumas County,"20,007"
06065,..Riverside County,"2,189,641"
06067,..Sacramento County,"1,418,788"
06069,..San Benito County,"55,269"
06071,..San Bernardino County,"2,035,210"
06073,..San Diego County,"3,095,313"
06075,..San Francisco County,"805,235"
06077,..San Joaquin County,"685,306"
06079,..San Luis Obispo County,"269,637"
06081,..San Mateo County,"718,451"
06083,..Santa Barbara County,"423,895"
06085,..Santa Clara County,"1,781,642"
06087,..Santa Cruz County,"262,382"
06089,..Shasta County,"177,223"
06091,..Sierra County,"3,240"
06093,..Siskiyou County,"44,900"
06095,..Solano County,"413,344"
06097,..Sonoma County,"483,878"
06099,..Stanislaus County,"514,453"
06101,..Sutter County,"94,737"
06103,..Tehama County,"63,463"
06105,..Trinity County,"13,786"
06107,..Tulare County,"442,179"
06109,..Tuolumne County,"55,365"
06111,..Ventura County,"823,318"
06113,..Yolo County,"200,849"
06115,..Yuba County,"72,155"
08000,.Colorado,"5,029,196"
08001,..Adams County,"441,603"
08003,..Alamosa County,"15,445"
08005,..Arapahoe County,"572,153"
08007,..Archuleta County,"12,084"
08009,..Baca County,"3,788"
08011,..Bent County,"6,499"
08013,..Boulder County,"294,567"
08014,..Broomfield County,"55,889"
08015,..Chaffee County,"17,809"
08017,..Cheyenne County,"1,836"
08019,..Clear Creek County,"9,088"
08021,..Conejos County,"8,256"
08023,..Costilla County,"3,524"
08025,..Crowley County,"5,823"
08027,..Custer County,"4,255"
08029,..Delta County,"30,952"
08031,..Denver County,"600,008"
08033,..Dolores County,"2,064"
08035,..Douglas County,"285,465"
08037,..Eagle County,"52,197"
08039,..Elbert County,"23,086"
08041,..El Paso County,"622,263"
08043,..Fremont County,"46,824"
08045,..Garfield County,"56,389"
08047,..Gilpin County,"5,441"
08049,..Grand County,"14,843"
08051,..Gunnison County,"15,324"
08053,..Hinsdale County,843
08055,..Huerfano County,"6,711"
08057,..Jackson County,"1,394"
08059,..Jefferson County,"534,543"
08061,..Kiowa County,"1,398"
08063,..Kit Carson County,"8,270"
08065,..Lake County,"7,310"
08067,..La Plata County,"51,334"
08069,..Larimer County,"299,630"
08071,..Las Animas County,"15,507"
08073,..Lincoln County,"5,467"
08075,..Logan County,"22,709"
08077,..Mesa County,"146,723"
08079,..Mineral County,712
08081,..Moffat County,"13,795"
08083,..Montezuma County,"25,535"
08085,..Montrose County,"41,276"
08087,..Morgan County,"28,159"
08089,..Otero County,"18,831"
08091,..Ouray County,"4,436"
08093,..Park County,"16,206"
08095,..Phillips County,"4,442"
08097,..Pitkin County,"17,148"
08099,..Prowers County,"12,551"
08101,..Pueblo County,"159,063"
08103,..Rio Blanco County,"6,666"
08105,..Rio Grande County,"11,982"
08107,..Routt County,"23,509"
08109,..Saguache County,"6,108"
08111,..San Juan County,699
08113,..San Miguel County,"7,359"
08115,..Sedgwick County,"2,379"
08117,..Summit County,"27,994"
08119,..Teller County,"23,350"
08121,..Washington County,"4,814"
08123,..Weld County,"252,825"
08125,..Yuma County,"10,043"
09000,.Connecticut,"3,574,097"
09001,..Fairfield County,"916,829"
09003,..Hartford County,"894,014"
09005,..Litchfield County,"189,927"
09007,..Middlesex County,"165,676"
09009,..New Haven County,"862,477"
09011,..New London County,"274,055"
09013,..Tolland County,"152,691"
09015,..Windham County,"118,428"
10000,.Delaware,"897,934"
10001,..Kent County,"162,310"
10003,..New Castle County,"538,479"
10005,..Sussex County,"197,145"
11000,.District of Columbia,"601,723"
11001,..District of Columbia,"601,723"
12000,.Florida,"18,801,311"
12001,..Alachua County,"247,336"
12003,..Baker County,"27,115"
12005,..Bay County,"168,852"
12007,..Bradford County,"28,520"
12009,..Brevard County,"543,372"
12011,..Broward County,"1,748,066"
12013,..Calhoun County,"14,625"
12015,..Charlotte County,"159,978"
12017,..Citrus County,"141,234"
12019,..Clay County,"190,865"
12021,..Collier County,"321,520"
12023,..Columbia County,"67,532"
12027,..DeSoto County,"34,862"
12029,..Dixie County,"16,422"
12031,..Duval County,"864,263"
12033,..Escambia County,"297,619"
12035,..Flagler County,"95,696"
12037,..Franklin County,"11,549"
12039,..Gadsden County,"46,389"
12041,..Gilchrist County,"16,939"
12043,..Glades County,"12,884"
12045,..Gulf County,"15,863"
12047,..Hamilton County,"14,799"
12049,..Hardee County,"27,731"
12051,..Hendry County,"39,140"
12053,..Hernando County,"172,778"
12055,..Highlands County,"98,786"
12057,..Hillsborough County,"1,229,226"
12059,..Holmes County,"19,927"
12061,..Indian River County,"138,028"
12063,..Jackson County,"49,746"
12065,..Jefferson County,"14,761"
12067,..Lafayette County,"8,870"
12069,..Lake County,"297,052"
12071,..Lee County,"618,754"
12073,..Leon County,"275,487"
12075,..Levy County,"40,801"
12077,..Liberty County,"8,365"
12079,..Madison County,"19,226"
12081,..Manatee County,"322,833"
12083,..Marion County,"331,298"
12085,..Martin County,"146,318"
12086,..Miami-Dade County,"2,496,435"
12087,..Monroe County,"73,090"
12089,..Nassau County,"73,314"
12091,..Okaloosa County,"180,822"
12093,..Okeechobee County,"39,996"
12095,..Orange County,"1,145,956"
12097,..Osceola County,"268,685"
12099,..Palm Beach County,"1,320,134"
12101,..Pasco County,"464,697"
12103,..Pinellas County,"916,542"
12105,..Polk County,"602,095"
12107,..Putnam County,"74,366"
12109,..St. Johns County,"190,039"
12111,..St. Lucie County,"277,789"
12113,..Santa Rosa County,"151,372"
12115,..Sarasota County,"379,448"
12117,..Seminole County,"422,718"
12119,..Sumter County,"93,420"
12121,..Suwannee County,"41,551"
12123,..Taylor County,"22,568"
12125,..Union County,"15,535"
12127,..Volusia County,"494,597"
12129,..Wakulla County,"30,776"
12131,..Walton County,"55,043"
12133,..Washington County,"24,896"
13000,.Georgia,"9,687,660"
13001,..Appling County,"18,236"
13003,..Atkinson County,"8,375"
13005,..Bacon County,"11,096"
13007,..Baker County,"3,451"
13009,..Baldwin County,"45,720"
13011,..Banks County,"18,395"
